"Fecha","Número de artículos vendidos","Cantidad de pedidos.","Importe neto promedio de ventas ","Importe del cupón","Cantidad de envíos","Cantidad de ventas bruto","Cantidad de ventas netas","Cantidad reembolsada"
"2023-1-1","0","0","4032909.09","0.00","0.00","0.00","0.00","0.00"
"2023-1-2","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-3","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-4","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-5","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-6","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-7","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-8","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-9","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-10","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-11","3","3","0","0.00","0.00","149700.00","149700.00","0.00"
"2023-1-12","0","0","0","0.00","0.00","0.00","0.00","0.00"
"2023-1-13","81","63","0","0.00","0.00","4041900.00","4041900.00","0.00"
"2023-1-14","489","364","0","0.00","0.00","24402000.00","24402000.00","0.00"
"2023-1-15","187","139","0","0.00","0.00","9332200.00","9332200.00","0.00"
"2023-1-16","233","204","0","0.00","0.00","11626700.00","11626700.00","0.00"
"2023-1-17","5","5","0","0.00","0.00","249500.00","249500.00","0.00"
"2023-1-18","133","114","0","0.00","0.00","6636700.00","6636700.00","0.00"
"2023-1-19","326","255","0","0.00","0.00","16267400.00","16267400.00","0.00"
"2023-1-20","181","144","0","0.00","0.00","9031900.00","9031900.00","0.00"
"2023-1-21","85","65","0","0.00","0.00","4241500.00","4241500.00","0.00"
"2023-1-22","55","47","4032909.09","0.00","0.00","2744500.00","2744500.00","0.00"
